Code,Name,Country,Exchange,Currency,Type,Isin
EURKHR,EURKHR,Unknown,FOREX,NA,Currency,
EURKRW,"Euro/Korean Won FX Cross Rate",Unknown,FOREX,NA,Currency,
EURKWD,"Euro/Kuwaiti Dinar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURKYD,"Euro Cayman Islands Dollar",Unknown,FOREX,NA,Currency,
EURKZT,EURKZT,Unknown,FOREX,NA,Currency,
EURLAK,EURLAK,Unknown,FOREX,NA,Currency,
EURLBP,EURLBP,Unknown,FOREX,NA,Currency,
EURLKR,"Euro/Sri Lanka Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
EURLSL,EURLSL,Unknown,FOREX,NA,Currency,
EURLYD,EURLYD,Unknown,FOREX,NA,Currency,
EURMAD,"Euro/Moroccan Dirham FX Cross Rate",Unknown,FOREX,NA,Currency,
EURMDL,EURMDL,Unknown,FOREX,NA,Currency,
EURMKD,EURMKD,Unknown,FOREX,NA,Currency,
EURMMK,EURMMK,Unknown,FOREX,NA,Currency,
EURMOP,EURMOP,Unknown,FOREX,NA,Currency,
EURMUR,EURMUR,Unknown,FOREX,NA,Currency,
EURMVR,EURMVR,Unknown,FOREX,NA,Currency,
EURMWK,EURMWK,Unknown,FOREX,NA,Currency,
EURMXN,"Euro/Mexican Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
EURMYR,"Euro/Malaysian Ringgit FX Cross Rate",Unknown,FOREX,NA,Currency,
EURNAD,EURNAD,Unknown,FOREX,NA,Currency,
EURNGN,"Euro/Nigerian Naira FX Cross Rate",Unknown,FOREX,NA,Currency,
EURNIO,EURNIO,Unknown,FOREX,NA,Currency,
EURNOK,"Euro/Norwegian Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
EURNPR,EURNPR,Unknown,FOREX,NA,Currency,
EURNZD,"Euro/New Zealand Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
EUROMR,"Euro/Omani Rial FX Cross Rate",Unknown,FOREX,NA,Currency,
EURPAB,EURPAB,Unknown,FOREX,NA,Currency,
EURPEN,"Euro/Peruvian Sol FX Cross Rate",Unknown,FOREX,NA,Currency,
EURPGK,EURPGK,Unknown,FOREX,NA,Currency,
EURPHP,"Euro/Philippine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
EURPKR,"Euro/Pakistani Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
EURPLN,"Euro/Polish Zloty FX Cross Rate",Unknown,FOREX,NA,Currency,
EURPYG,EURPYG,Unknown,FOREX,NA,Currency,
EURQAR,EURQAR,Unknown,FOREX,NA,Currency,
EURRON,EURRON,Unknown,FOREX,NA,Currency,
EURRSD,EURRSD,Unknown,FOREX,NA,Currency,
EURRUB,"Euro/Russian Rouble FX Cross Rate",Unknown,FOREX,NA,Currency,
EURRWF,EURRWF,Unknown,FOREX,NA,Currency,
EURSAR,"Euro/Saudi Arabian Riyal FX Cross Rate",Unknown,FOREX,NA,Currency,
EURSCR,"Euro/Seychelles Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
EURSEK,"Euro/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
EURSGD,"Euro/Singapore Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURSOS,EURSOS,Unknown,FOREX,NA,Currency,
EURSVC,EURSVC,Unknown,FOREX,NA,Currency,
EURSZL,EURSZL,Unknown,FOREX,NA,Currency,
EURTHB,"Euro/Thai Baht FX Cross Rate",Unknown,FOREX,NA,Currency,
EURTND,EURTND,Unknown,FOREX,NA,Currency,
EURTRY,"Euro/Turkish Lira FX Cross Rate",Unknown,FOREX,NA,Currency,
EURTTD,EURTTD,Unknown,FOREX,NA,Currency,
EURTWD,"Euro/Taiwan Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURTZS,EURTZS,Unknown,FOREX,NA,Currency,
EURUAH,"Euro/Ukraine Hryvnia FX Cross Rate",Unknown,FOREX,NA,Currency,
EURUGX,EURUGX,Unknown,FOREX,NA,Currency,
EURUSD,EURUSD,Unknown,FOREX,NA,Currency,
EURUYU,EURUYU,Unknown,FOREX,NA,Currency,
EURUZS,EURUZS,Unknown,FOREX,NA,Currency,
EURVND,"Euro/Vietnam Dong FX Cross Rate",Unknown,FOREX,NA,Currency,
EURXAF,EURXAF,Unknown,FOREX,NA,Currency,
EURXOF,EURXOF,Unknown,FOREX,NA,Currency,
